"1","1","после установки обновления программа не запускается","перезагрузите компьютер и попробуйте снова"
"1","1","не запускается обновление программы","перезагрузите компьютер и попробуйте снова"
"1","1","установил и перестало работать","перезагрузите компьютер и попробуйте снова"
"1","1","после установки завис компьютер","перезагрузите компьютер и попробуйте снова"
"1","1","после запуска зависает компьютер","перезагрузите компьютер и попробуйте снова"
"1","1","после установки обновления зависает компьютер","перезагрузите компьютер и попробуйте снова"
"1","1","обновил и перестало работать","перезагрузите компьютер и попробуйте снова"
"1","1","после запуска вылетает ошибка","перезагрузите компьютер и попробуйте снова"
"1","1","после запуска вылазит ошибка","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления вылетает ошибка","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления вылазит ошибка","перезагрузите компьютер и попробуйте снова"
"1","1","когда запускаю программу ничего не происходит","перезагрузите компьютер и попробуйте снова"
"1","1","не приходят обновленияв но на сайте уже есть новая версия","перезагрузите компьютер и попробуйте снова"
"1","1","программа закрывается после обновления","перезагрузите компьютер и попробуйте снова"
"1","1","программа закрывается после установки","перезагрузите компьютер и попробуйте снова"
"1","1","программа крашится после обновления","перезагрузите компьютер и попробуйте снова"
"1","1","программа крашится после установки","перезагрузите компьютер и попробуйте снова"
"1","1","после установки выходит окошко отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после установки вылазит окошко отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после установки вылазит окно отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после установки выходит окно отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","запуская программу после обновления пишет файл поврежден","перезагрузите компьютер и попробуйте снова"
"1","1","запуская программу после установки пишет файл поврежден","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления выходит окошко отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления вылазит окошко отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления вылазит окно отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления выходит окно отсутствует файл","перезагрузите компьютер и попробуйте снова"
"1","1","приложение несовместимо с вашей версией виндовс","перезагрузите компьютер и попробуйте снова"
"1","1","вылетает установщик обновления","перезагрузите компьютер и попробуйте снова"
"1","1","закрывается установщик обновления","перезагрузите компьютер и попробуйте снова"
"1","1","не устанавливается программа","перезагрузите компьютер и попробуйте снова"
"1","1","не работают обновления","перезагрузите компьютер и попробуйте снова"
"1","1","во время обновления возникают ошибки","перезагрузите компьютер и попробуйте снова"
"1","1","во время установки возникают ошибки","перезагрузите компьютер и попробуйте снова"
"1","1","долго ставиться обновление","перезагрузите компьютер и попробуйте снова"
"1","1","долго устанавливается обновление","перезагрузите компьютер и попробуйте снова"
"1","1","обновление перестает загружаться","перезагрузите компьютер и попробуйте снова"
"1","1","зависает обновление программы","перезагрузите компьютер и попробуйте снова"
"1","1","зависает установка программы","перезагрузите компьютер и попробуйте снова"
"1","1","при запуске каждый раз просит обновить программу","перезагрузите компьютер и попробуйте снова"
"1","1","бесконечное обновление","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления программа не запускается","перезагрузите компьютер и попробуйте снова"
"1","1","при попытки открытия после обновления выдает ошибку","перезагрузите компьютер и попробуйте снова"
"1","1","при попытки открытия после установки выдает ошибку","перезагрузите компьютер и попробуйте снова"
"1","1","после обновления компьютер перезагружается","перезагрузите компьютер и попробуйте снова"
"1","1","при запуске программы компьютер перезагружается","перезагрузите компьютер и попробуйте снова"
"1","2","после запуска вылетает ошибка","перезагрузите компьютер и попробуйте снова"
"1","2","программа сама закрывается без ошибок","перезагрузите компьютер и попробуйте снова"
"1","2","программа сама вылетает без ошибок","перезагрузите компьютер и попробуйте снова"
"1","2","программа сама крашится без ошибок","перезагрузите компьютер и попробуйте снова"
"1","2","программа вылетает","перезагрузите компьютер и попробуйте снова"
"1","2","когда нажимаю на значок программа закрывается и вылетает ошибка","перезагрузите компьютер и попробуйте снова"
"1","2","когда нажимаю на значок программа закрывается и ничего не происходит","перезагрузите компьютер и попробуйте снова"
"1","2","при сворачивании программа закрывается","перезагрузите компьютер и попробуйте снова"
"1","2","при сворачивании программа вылетает","перезагрузите компьютер и попробуйте снова"
"1","2","при сворачивании программа крашится","перезагрузите компьютер и попробуйте снова"
"1","2","при разворачивании программа закрывается","перезагрузите компьютер и попробуйте снова"
"1","2","при разворачивании программа вылетает","перезагрузите компьютер и попробуйте снова"
"1","2","при разворачивании программа крашится","перезагрузите компьютер и попробуйте снова"
"1","2","после авторизации программа вылетает","перезагрузите компьютер и попробуйте снова"
"1","2","после авторизации программа закрывается","перезагрузите компьютер и попробуйте снова"
